Name				Flags		Cardinality	Example	Example	Document	Type	Description & Constraints		ValueSets			
Patient				N						DomainResource			System	CodeSystem	Code	Display
identifier: national id				Σ S	  D	0..1				Identifier	Идентификатор		 https://terminology.medcore.uz/ValueSet/identifier-use-vs	CodeSystemIdentifierUse	все коды	Определяет цель этого идентификатора
	use			"	?! Σ S"	  D	0..1	usual	official	HL7.v5	code	"Определяет цель этого идентификатора
Binding: https://terminology.medcore.uz/ValueSet/identifier-use-vs (required)"		https://terminology.medcore.uz/ValueSet/IdentifierType	CodeSystemIdentifierType	NI, PPN, BCT, DL, DP, HC, MI, PCN	Тип идентификатора, удостоверяющего личность
	type			Σ S	  D	1..*	NI	DL	HL7.v5	CodeableConcept	"Код типа идентификатора, удостоверяющего личность
Binding: https://terminology.medcore.uz/ValueSet/identifier-type-vs (required)"		 https://terminology.medcore.uz/ValueSet/nationality	CodeSystemNationality	1--307	Код национальности пациента
	identifier: nationaluniqueID			Σ S	  D	0..1				Identifier	Идентификатор для этого Patient		https://terminology.medcore.uz/ValueSet/citizenship	 CodeSystemCountries	все имеющиеся коды	Код гражданства пациента
		 system		Σ S	  D	1..1				uri	Fixed Value: https://dpm.uz/		https://terminology.medcore.uz/ValueSet/education	CodeSystemeducation	regis0005.00001--regis0005.00010	Код образования пациента
	identifier: passportnumber			Σ S	  D	0..1				Identifier	Идентификатор для этого Patient		https://terminology.medcore.uz/ValueSet/profession	CodeSystemPositionAndProfession	1111.1--9623.6	Код профессии пациента
		 system		Σ S	  D	1..1				uri	Fixed Value: https://dpm.uz/		 https://terminology.medcore.uz/ValueSet/benefits	CodeSystembenefits	regis0004.00001--regis0004.00019	Код  льготной категории пациента
	identifier: birthcertificate			Σ S	  D	0..1				Identifier	Идентификатор для этого Patient		https://terminology.medcore.uz/ValueSet/socialstatus	CodeSystemsocialstatus 	regis0010.00001--regis0010.00008	Код социального статуса пациента
		 system		Σ S	  D	1..1				uri	Fixed Value: https://adliya.uz/		https://terminology.medcore.uz/ValueSet/disability	CodeSystemdisability	regis0011.00001--regis0011.00004	Код категории инвалидности пациента
